NAME,MBID,LISTENERS,URL,STREAMABLE,IMAGE_SMALL,IMAGE_LARGE
Brent Faiyaz,,1257029,https://www.last.fm/music/Brent+Faiyaz,0,,
Breaking Benjamin,854a1807-025b-42a8-ba8c-2a39717f1d25,2387651,https://www.last.fm/music/Breaking+Benjamin,0,,
Benny Blanco,80fe825a-8327-4d99-aca1-67e13e85a0ae,1006760,https://www.last.fm/music/Benny+Blanco,0,,
Ben Howard,534dda3c-b73f-408b-8889-bd68eae84df6,1157155,https://www.last.fm/music/Ben+Howard,0,,
Alec Benjamin,,905544,https://www.last.fm/music/Alec+Benjamin,0,,
Benny the Butcher,,383848,https://www.last.fm/music/Benny+the+Butcher,0,,
benee,,739332,https://www.last.fm/music/benee,0,,
Ben Folds,51b7f46f-6c0f-46f2-9496-08c9ec2624d4,1042746,https://www.last.fm/music/Ben+Folds,0,,
Ben Harper,bab1a235-a6a5-4e67-90ca-64ac0f991a10,1428727,https://www.last.fm/music/Ben+Harper,0,,
Buena Vista Social Club,2a85ecff-41e9-4be1-aca6-c87054a4c334,846181,https://www.last.fm/music/Buena+Vista+Social+Club,0,,
Jorge Ben Jor,19499124-36d4-4ccc-b28d-04dde3d2076f,364461,https://www.last.fm/music/Jorge+Ben+Jor,0,,
Brenda Lee,6ca4886a-8f77-4133-b404-46fb3908e24a,1569691,https://www.last.fm/music/Brenda+Lee,0,,
ben platt,,383553,https://www.last.fm/music/ben+platt,0,,
Benny Benassi,674bf89f-8e70-4472-929d-6b4ed6f98c88,1496969,https://www.last.fm/music/Benny+Benassi,0,,
Tony Bennett,8be0594f-8c13-46bb-ab06-f93ffba5c776,1462127,https://www.last.fm/music/Tony+Bennett,0,,
Ben Folds Five,abe2669a-a612-4bf6-9193-bb4f4b8a9088,829321,https://www.last.fm/music/Ben+Folds+Five,0,,
Benson Boone,,400553,https://www.last.fm/music/Benson+Boone,0,,
Ben E. King,837555ba-012e-45f1-9a9c-9628da13ee54,1263584,https://www.last.fm/music/Ben+E.+King,0,,
BRENNAN SAVAGE,,223201,https://www.last.fm/music/BRENNAN+SAVAGE,0,,
Benjamin Blümchen,6f4b441a-3197-47bd-b572-a53ae4ba3b00,24036,https://www.last.fm/music/Benjamin+Bl%C3%BCmchen,0,,
Benjamin Francis Leftwich,b9e82c61-c1ec-4b42-9233-ca3567d2f2da,703543,https://www.last.fm/music/Benjamin+Francis+Leftwich,0,,
Pat Benatar,6bc658ea-005f-486b-8f94-33a2e40f7a72,1123302,https://www.last.fm/music/Pat+Benatar,0,,
Jorge Ben,19499124-36d4-4ccc-b28d-04dde3d2076f,422183,https://www.last.fm/music/Jorge+Ben,0,,
Being As An Ocean,956f5b24-6734-4d4d-94f2-411113485736,129623,https://www.last.fm/music/Being+As+An+Ocean,0,,
Dierks Bentley,6bd7faa9-601f-44db-a2a6-239209f83156,792194,https://www.last.fm/music/Dierks+Bentley,0,,
George Benson,467f69b6-8d6d-4d2c-bfad-e89adf2806ff,821515,https://www.last.fm/music/George+Benson,0,,
Jazmin Bean,,239047,https://www.last.fm/music/Jazmin+Bean,0,,
ben&ben,,113993,https://www.last.fm/music/ben&ben,0,,
Benny Sings,cdaf7932-ab05-4f71-8721-104da6e6b8d0,400281,https://www.last.fm/music/Benny+Sings,0,,
Tim Bernardes,,162845,https://www.last.fm/music/Tim+Bernardes,0,,
